url,issue,url_type,cohort,last_crawled
https://www.the-anchor.pub/blog/tag/traditional-food,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/celebrations,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/december,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/live-events,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/music-bingo,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/reviews,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/team-sports,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/venue-hire,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/weekly-specials,Page with redirect,redirect_source,tag,2026-02-19
https://www.the-anchor.pub/blog/tag/curry-night,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/jewellery,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/manager-picks,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/photography,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/comedy,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/corporate,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/day-of-the-dead,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/drag-cabaret,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/equality,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/family-friendly,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/gin,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/hiring,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/indian-culture,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/leagues,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/market,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/monthly,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/new-arrival,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/opening-hours,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/piano,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/pub-food,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/race-night,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/shrove-tuesday,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/sustainability,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/volunteer,Page with redirect,redirect_source,tag,2026-02-18
https://www.the-anchor.pub/blog/tag/pub-life,Page with redirect,redirect_source,tag,2026-02-15
https://www.the-anchor.pub/post/introducing-new-dining-room-the-anchor,Page with redirect,legacy_wix,post,2026-02-08
https://www.the-anchor.pub/blog/tag/football,Page with redirect,redirect_source,tag,2026-02-06
https://www.the-anchor.pub/blog/tag/quiz-night,Page with redirect,redirect_source,tag,2026-01-29
https://www.the-anchor.pub/post/earth-day-2024-celebration-the-anchor,Page with redirect,legacy_wix,post,2026-01-08
https://www.the-anchor.pub/blog/tag/valentines,Page with redirect,redirect_source,tag,2025-12-30
https://the-anchor.pub/food,Page with redirect,redirect_source,other,2025-11-17
https://www.the-anchor.pub/post/celebrate-fathers-day-at-the-anchor,Page with redirect,legacy_wix,post,2025-11-13
https://the-anchor.pub/heathrow-hotels-pub,Page with redirect,page,other,2025-09-24
https://the-anchor.pub/windsor-pub,Page with redirect,page,other,2025-09-23
https://the-anchor.pub/bedfont-pub,Page with redirect,page,other,2025-09-23
https://www.the-anchor.pub/post/autumn-winter-menu,Page with redirect,legacy_wix,post,2025-09-22
https://www.the-anchor.pub/post/world-salami-day-pizza-offerings,Page with redirect,legacy_wix,post,2025-09-22
https://www.the-anchor.pub/post/ve-day-at-the-anchor,Page with redirect,legacy_wix,post,2025-09-20
https://www.the-anchor.pub/post/random-acts-of-kindness-day-the-anchor,Page with redirect,legacy_wix,post,2025-09-20
https://www.the-anchor.pub/post/unforgettable-gameshow-house-party-anchor,Page with redirect,legacy_wix,post,2025-09-18
https://the-anchor.pub/blog/six-nations-rugby-at-the-anchor-2023,Page with redirect,page,post,2025-09-09
https://the-anchor.pub/blog/tag/romantic-dining,Page with redirect,redirect_source,tag,2025-08-18
https://www.the-anchor.pub/post/the-anchor-christmas-2023-celebrations,Page with redirect,legacy_wix,post,2025-08-01
https://www.the-anchor.pub/post/st-patrick-s-day-2023,Page with redirect,legacy_wix,post,2025-07-31
https://www.the-anchor.pub/blog/page/36,Page with redirect,page,post,2025-07-30
https://the-anchor.pub/blog/buy-one-get-one-free-on-all-pizza-every-tuesday,Page with redirect,page,post,2025-07-30
https://www.the-anchor.pub/blog/categories/updates,Page with redirect,page,post,2025-07-30
https://www.the-anchor.pub/post/mother-s-day-at-the-anchor,Page with redirect,legacy_wix,post,2025-07-28
https://www.the-anchor.pub/blog/page/34,Page with redirect,page,post,2025-07-28
https://www.the-anchor.pub/blog/page/35,Page with redirect,page,post,2025-07-28
https://www.the-anchor.pub/blog/page/17,Page with redirect,page,post,2025-07-28
https://www.the-anchor.pub/blog/page/7,Page with redirect,page,post,2025-07-28
https://www.the-anchor.pub/event-details/gameshow-house-party-with-nikki-manfadge,Page with redirect,legacy_wix,event,2025-07-27
https://www.the-anchor.pub/heel-of-fortune,Page with redirect,redirect_source,other,2025-07-26
https://www.the-anchor.pub/honey-bee-mine-terms-and-conditions,Page with redirect,redirect_source,other,2025-07-26
https://www.the-anchor.pub/blog/page/15,Page with redirect,page,post,2025-07-26
https://www.the-anchor.pub/event-details/quiz-night-with-nish-halloween-special,Page with redirect,legacy_wix,event,2025-07-25
https://www.the-anchor.pub/post/tequila-tasting-night,Page with redirect,legacy_wix,post,2025-07-24
https://www.the-anchor.pub/event-details/christmas-special-pub-quiz-night,Page with redirect,legacy_wix,event,2025-07-24
https://the-anchor.pub/m25-junction-14-pub,Page with redirect,page,other,2025-07-22
https://www.the-anchor.pub/api/calendar/event/83ed9dc0-2f18-4b26-be2f-e916c89f2277,Blocked by robots.txt,page,other,2026-04-26
https://www.the-anchor.pub/_next/static/css/98d7e27e1668f920.css?dpl=dpl_84t2yARFZA1C7NN8Mh8H8rC6RtRm,Blocked by robots.txt,static_asset,static_asset,2026-04-21
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_84t2yARFZA1C7NN8Mh8H8rC6RtRm,Blocked by robots.txt,static_asset,static_asset,2026-04-20
https://www.the-anchor.pub/_next/static/css/98d7e27e1668f920.css?dpl=dpl_Bk4NqyaHoWWLr5JxDdNYiUSstPYt,Blocked by robots.txt,static_asset,static_asset,2026-04-20
https://www.the-anchor.pub/_next/static/css/98d7e27e1668f920.css?dpl=dpl_4MSAWfD8xRGFzRtAdB2KcWhnDZLk,Blocked by robots.txt,static_asset,static_asset,2026-04-18
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_4MSAWfD8xRGFzRtAdB2KcWhnDZLk,Blocked by robots.txt,static_asset,static_asset,2026-04-18
https://www.the-anchor.pub/_next/static/css/98d7e27e1668f920.css?dpl=dpl_56MCzxUzY4YSuc7mNNnFCejdhvjc,Blocked by robots.txt,static_asset,static_asset,2026-04-17
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_56MCzxUzY4YSuc7mNNnFCejdhvjc,Blocked by robots.txt,static_asset,static_asset,2026-04-16
https://www.the-anchor.pub/_next/static/css/c91051069573cb70.css?dpl=dpl_He8e9VMTDberykk7SFmGenpY3nHd,Blocked by robots.txt,static_asset,static_asset,2026-04-16
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_GDgVqFps138kScxhdDRkhgRtFZ5P,Blocked by robots.txt,static_asset,static_asset,2026-04-12
https://www.the-anchor.pub/_next/static/css/98d7e27e1668f920.css?dpl=dpl_GDgVqFps138kScxhdDRkhgRtFZ5P,Blocked by robots.txt,static_asset,static_asset,2026-04-12
https://www.the-anchor.pub/_next/static/css/be1825254e713ba2.css?dpl=dpl_J5mEKLy7xncG2GjzTuQkXr7WPkd3,Blocked by robots.txt,static_asset,static_asset,2026-04-12
https://www.the-anchor.pub/api/calendar/event/f00d318b-f229-4213-b9b1-f218791e60f8,Blocked by robots.txt,page,other,2026-04-12
https://www.the-anchor.pub/api/calendar/event/a6164ade-9408-485c-9ee4-fb5bf3c9736e,Blocked by robots.txt,page,other,2026-04-09
https://www.the-anchor.pub/_next/static/css/e6d53f767da95b45.css?dpl=dpl_Hw9p1hyXmKjv47PapKfDx9PTPytq,Blocked by robots.txt,static_asset,static_asset,2026-04-09
https://www.the-anchor.pub/_next/static/css/8d8280df9751b622.css?dpl=dpl_2ZH1EW1iruFFfU8M5Q6CwQMpGYqu,Blocked by robots.txt,static_asset,static_asset,2026-04-08
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_2ZH1EW1iruFFfU8M5Q6CwQMpGYqu,Blocked by robots.txt,static_asset,static_asset,2026-04-08
https://www.the-anchor.pub/api/calendar/event/01cb7669-d24b-4881-a863-796896145e4c,Blocked by robots.txt,page,other,2026-04-02
https://www.the-anchor.pub/api/calendar/event/69cc1530-44a6-4120-b168-f9c8f2661bdf,Blocked by robots.txt,page,other,2026-04-02
https://www.the-anchor.pub/_next/static/css/e6d53f767da95b45.css?dpl=dpl_FyFpdpKtSFMuTE8jQGGq7wKL6Emp,Blocked by robots.txt,static_asset,static_asset,2026-04-02
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_AmuWvy5A9XRWAGVW75pX6nYNjDu9,Blocked by robots.txt,static_asset,static_asset,2026-04-02
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_FchrJcGXqka4jYrhq47kdqGJMBcU,Blocked by robots.txt,static_asset,static_asset,2026-03-31
https://www.the-anchor.pub/_next/static/css/ade260bbef0412eb.css?dpl=dpl_5oF5fdKgVDmMsQ4vSaVsWgnWhd2w,Blocked by robots.txt,static_asset,static_asset,2026-03-30
https://www.the-anchor.pub/_next/static/css/c0d12fd041c55192.css?dpl=dpl_AeMQ7RvwgxGmpzZMP7qVpmutdq5Y,Blocked by robots.txt,static_asset,static_asset,2026-03-29
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_Bg7EAL8uduarh8FnM8TGb7kRPj3o,Blocked by robots.txt,static_asset,static_asset,2026-03-28
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_FyFpdpKtSFMuTE8jQGGq7wKL6Emp,Blocked by robots.txt,static_asset,static_asset,2026-03-27
https://www.the-anchor.pub/api/calendar/event/a2be85db-6047-4a69-a065-30913d8df596,Blocked by robots.txt,page,other,2026-03-27
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_BiBnbfb9MwmZi4VoKfanJKpFTjdb,Blocked by robots.txt,static_asset,static_asset,2026-03-27
https://www.the-anchor.pub/_next/static/css/9509e052d107e840.css?dpl=dpl_5QccGpuSAu4QCH7b7nF89EFvuEGz,Blocked by robots.txt,static_asset,static_asset,2026-03-27
https://www.the-anchor.pub/_next/static/css/a7ea1c8503687637.css?dpl=dpl_5Yun8fMNmmS3gDrVoBWY4tCUWBFZ,Blocked by robots.txt,static_asset,static_asset,2026-03-27
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_64ASWEQAH2PscRctMhRwm8JTBH8p,Blocked by robots.txt,static_asset,static_asset,2026-03-26
https://www.the-anchor.pub/_next/static/css/22a78d77fbc17305.css?dpl=dpl_49JPZuDMB2RjyxxQ6jvAuz8Ctq2e,Blocked by robots.txt,static_asset,static_asset,2026-03-26
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_49JPZuDMB2RjyxxQ6jvAuz8Ctq2e,Blocked by robots.txt,static_asset,static_asset,2026-03-26
https://www.the-anchor.pub/api/calendar/event/2586f782-3f7c-4845-bed1-32a49c098a6c,Blocked by robots.txt,page,other,2026-03-26
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_7ztsAiiu7xqFk5kbSHCVChBpshb7,Blocked by robots.txt,static_asset,static_asset,2026-03-26
https://www.the-anchor.pub/api/calendar/event/4cda32f2-9ef3-49ee-af90-c8f153c7ea51,Blocked by robots.txt,page,other,2026-03-26
https://www.the-anchor.pub/_next/static/css/746bb05e6db9a023.css?dpl=dpl_6TCGpXYLCo7LCvypo8dDHywg1zPr,Blocked by robots.txt,static_asset,static_asset,2026-03-26
https://www.the-anchor.pub/api/calendar/event/edfbda6e-5c73-4208-b332-8ab3862f4ea9,Blocked by robots.txt,page,other,2026-03-26
https://www.the-anchor.pub/_next/static/css/0d87d382b0c89ab7.css?dpl=dpl_Eo6zBc2sM45QqkPBxNEq2vxsc7R5,Blocked by robots.txt,static_asset,static_asset,2026-03-26
https://www.the-anchor.pub/_next/static/css/bc201f37565bfb12.css?dpl=dpl_5x6wWU5u6EcaVzJJ3hPC11oBiyjm,Blocked by robots.txt,static_asset,static_asset,2026-03-26
