source_url,target_url,anchor_text,collected_at
http://localhost:3000/christmas-parties,http://localhost:3000/music-bingo,Music Bingo,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/cash-bingo,Cash Bingo,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/karaoke,Karaoke,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/live-music,Live Music,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/live-sport,Live Sport Pub,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/near-heathrow,Near Heathrow,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/near-heathrow/terminal-5,Terminal 5,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/restaurants-near-heathrow,Restaurants Near Heathrow,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/plane-spotting-heathrow,Plane Spotting Pub,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/beer-garden,Beer Garden,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/pre-flight-meal,Pre-Flight Meal,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/heathrow-layover-dining,Layover Dining,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/heathrow-parking,Heathrow Parking,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/about,About The Anchor,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/about/the-anchor-facts,The Anchor Facts,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/our-pub,Our Pub,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/history,Our History,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/blog,Blog,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/join-our-team,Join Our Team,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/sitemap-page,Sitemap,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/leave-review,Leave a Review,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/join-our-team,We're Hiring: Join Our Team,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/reviews,Guest Reviews,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/safety-and-respect,Safety and Respect,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/sustainability,Sustainability,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/accessibility,Accessibility,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/privacy-policy,Privacy Policy,2026-07-10T20:07:06.278437+00:00
http://localhost:3000/christmas-parties,http://localhost:3000/food-menu,View menu,2026-07-10T20:07:06.278437+00:00
